"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"7a2968cc0c4fd3ddf658ede8bd0b5d4e6f813f48e69f4b167a2baecfc3b67f18b9a1496bb3a04aaf9e84e121d80f26bdc20bd3f968c45b37f392d79e073606d1",,"2024-06-06T03:09:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-06-06T03:09:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4215","W","MONTROSE AVE","1722",,,,,,,"1","REPORTED, NOT EVIDENT","1","0","0","0","1","0","0","3","5","6","41.960774913","-87.733369135","POINT (-87.733369134815 41.960774912619)"
"b4675bebee5308633957dbb497d29afc26b55fa267e99e420bf1e0a593b3fde4a8b0e42bc3e226e24a4cec481c025181b8548444c78236cd8b67cf013753b2dd",,"2024-06-06T02:45:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-06T03:50:00.000","FOLLOWING TOO CLOSELY","FAILING TO YIELD RIGHT-OF-WAY","7900","S","SOUTH CHICAGO AVE","411",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","2","5","6","41.751339705","-87.585632266","POINT (-87.585632265652 41.751339704589)"
"730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb",,"2024-06-05T23:53:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","OTHER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2024-06-05T23:59:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3800","W","LEXINGTON ST","1133","Y","Y",,,,,"2","NONINCAPACITATING INJURY","2","0","0","1","1","1","0","23","4","6","41.871799737","-87.720435406","POINT (-87.720435405637 41.871799737248)"
"060b964a1af98ff029fe8990eb2c10f01ee4e1cfb243946457cbe0162ca8328cca45a974fd43456796e0058e87e2e9872a47e848db42a969b40964f14ea7c73f",,"2024-06-05T23:50:00.000","30","RR CROSSING SIGN","UNKNOWN","CLEAR","DARKNESS","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-06T00:29:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1027","N","HARDING AVE","1112",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","1","0","23","4","6","41.899863849","-87.724843572","POINT (-87.724843572497 41.899863849367)"
"bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75",,"2024-06-05T23:50:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","OTHER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-05T23:50:00.000","IMPROPER BACKING","IMPROPER BACKING","4009","W","59TH ST","813",,"Y",,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","23","4","6","41.785820613","-87.723389149","POINT (-87.723389148798 41.785820612753)"
"52e1f87356532b075ec519f8db6e50976ec6f5c4262777c25f8a65ab635134b5f311512d6a22d694b240e1a05d2f98236422f11008e9bf86204bbb275cbf74c2",,"2024-06-05T23:24:00.000","45","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","OTHER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","N",,,"OVER $1,500","2024-06-05T23:35:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","500","S","LAKE SHORE DR NB","114",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","4","6","41.875756255","-87.61751568","POINT (-87.617515679751 41.875756255241)"
"e2a993a032c4ac80359703c27ee32915e8a7bd02bb385fa158acfa0442c033aaef178ce0a72839668b3bf3bd05b001f39146e464b360a50502e1c1bad04f5605","Y","2024-06-05T22:35:00.000","0","NO CONTROLS","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2024-06-05T23:45:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","11901","S","LOOMIS ST","524","Y","Y",,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","4","6","41.67756555","-87.656382369","POINT (-87.65638236857 41.677565550358)"
"8be3d4c9775e19ec078f15274fd343ec42fe54349d7322e03a00849714bd75e7e2c3b462fd1f42af31e09779de7de7dfb1e0a73c3590ac8a1c4fd9f194becd76",,"2024-06-05T22:30:00.000","15","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PEDESTRIAN","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,"Y",,"$500 OR LESS","2024-06-06T01:47:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5600","W","FULLERTON AVE","2515",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","22","4","6","41.924090199","-87.76605353","POINT (-87.766053530161 41.924090198835)"
"6981eee954fa8d81d49ce4cff20ca96e0db8c27037c13edc0794a16c554726e337ebc74235f45b280b6356f789af8cfa27692453af6ea3c6991943817730e174",,"2024-06-05T22:18:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR TO FRONT","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-06-05T22:18:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","900","N","FAIRFIELD AVE","1211",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","4","6","41.897558672","-87.695661795","POINT (-87.695661794743 41.897558672376)"
"3b08f4d70f002827abe503aed0dd881f64ee21f01741a6689d706772b784eedf4ee6ce2dd3f38b7671039c4bf580c308fb98f3e948bf150a4eb6673675fb71ce",,"2024-06-05T22:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE OPPOSITE DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"N","$501 - $1,500","2024-06-05T22:45:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","933","W","BELLE PLAINE AVE","1915",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","22","4","6","41.956493227","-87.653301699","POINT (-87.653301698671 41.956493226727)"
