"person_id","person_type","crash_record_id","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1835832","DRIVER","7a2968cc0c4fd3ddf658ede8bd0b5d4e6f813f48e69f4b167a2baecfc3b67f18b9a1496bb3a04aaf9e84e121d80f26bdc20bd3f968c45b37f392d79e073606d1","1748746","2024-06-06T03:09:00.000",,"CHICAGO","IL","60625","M","37","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835837","DRIVER","b4675bebee5308633957dbb497d29afc26b55fa267e99e420bf1e0a593b3fde4a8b0e42bc3e226e24a4cec481c025181b8548444c78236cd8b67cf013753b2dd","1748755","2024-06-06T02:45:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","TRAPPED/EXTRICATED","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835838","DRIVER","b4675bebee5308633957dbb497d29afc26b55fa267e99e420bf1e0a593b3fde4a8b0e42bc3e226e24a4cec481c025181b8548444c78236cd8b67cf013753b2dd","1748754","2024-06-06T02:45:00.000",,"SOUTH HOLLAND","IL","60473","F","20","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1835813","DRIVER","730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb","1748731","2024-06-05T23:53:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835814","DRIVER","730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb","1748733","2024-06-05T23:53:00.000",,"CHICAGO","IL","60623","M","42","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P406000","PASSENGER","730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb","1748733","2024-06-05T23:53:00.000","6","CICERO","IL","60804","M","23",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","ST ANTHONY","CFD","10",,,,,,,,,
"O1835822","DRIVER","060b964a1af98ff029fe8990eb2c10f01ee4e1cfb243946457cbe0162ca8328cca45a974fd43456796e0058e87e2e9872a47e848db42a969b40964f14ea7c73f","1748738","2024-06-05T23:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1835805","DRIVER","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","1748722","2024-06-05T23:50:00.000",,"CHICAGO","IL","60629","M","27","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P405996","PASSENGER","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","1748722","2024-06-05T23:50:00.000","3","CHICAGO","IL","60629","F","26",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P405997","PASSENGER","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","1748725","2024-06-05T23:50:00.000","3","CHICAGO","IL","60638","M","30",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
