"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1835832","7a2968cc0c4fd3ddf658ede8bd0b5d4e6f813f48e69f4b167a2baecfc3b67f18b9a1496bb3a04aaf9e84e121d80f26bdc20bd3f968c45b37f392d79e073606d1","2024-06-06T03:09:00.000","1","DRIVER",,"1748746",,"FORD","FUSION","IL","2020","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","Y","N","1",,"street and sanitation",,,"Y","Y","Y","Y",,,,,,,,"Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835837","b4675bebee5308633957dbb497d29afc26b55fa267e99e420bf1e0a593b3fde4a8b0e42bc3e226e24a4cec481c025181b8548444c78236cd8b67cf013753b2dd","2024-06-06T02:45:00.000","1","DRIVER",,"1748755",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","W","PASSING/OVERTAKING",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835838","b4675bebee5308633957dbb497d29afc26b55fa267e99e420bf1e0a593b3fde4a8b0e42bc3e226e24a4cec481c025181b8548444c78236cd8b67cf013753b2dd","2024-06-06T02:45:00.000","2","DRIVER",,"1748754",,"HYUNDAI","VELOSTAR","IL","2019","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,"Y",,,,,,,,"Y",,,,"SIDE-LEFT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835813","730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb","2024-06-05T23:53:00.000","1","DRIVER",,"1748731",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835814","730e9af277406f9ef12fc8a299de1fe4f5e68aacc8f8699583e739facdae8cc7eeac8ea23cad14e184b2eb85722d925f299875b2f0294a9d0601d5a0aad684bb","2024-06-05T23:53:00.000","2","DRIVER","1","1748733",,"NISSAN","SENTRA","IL","2019","NONE","PASSENGER","RIDESHARE SERVICE","E","STRAIGHT AHEAD",,,"2",,,,,,,,,"Y","Y",,,,,,,,"REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835822","060b964a1af98ff029fe8990eb2c10f01ee4e1cfb243946457cbe0162ca8328cca45a974fd43456796e0058e87e2e9872a47e848db42a969b40964f14ea7c73f","2024-06-05T23:50:00.000","1","DRIVER",,"1748738",,"TOYOTA","COROLLA","IL","2011","UNKNOWN","PASSENGER","PERSONAL","S","UNKNOWN/NA",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835823","060b964a1af98ff029fe8990eb2c10f01ee4e1cfb243946457cbe0162ca8328cca45a974fd43456796e0058e87e2e9872a47e848db42a969b40964f14ea7c73f","2024-06-05T23:50:00.000","2","PARKED",,"1748741",,"CHEVROLET","TRAVERSE","IL","2011","UNKNOWN","PASSENGER","PERSONAL","S","PARKED",,,"0",,,,,"Y",,,,"Y","Y","N",,,,"Y","Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835824","060b964a1af98ff029fe8990eb2c10f01ee4e1cfb243946457cbe0162ca8328cca45a974fd43456796e0058e87e2e9872a47e848db42a969b40964f14ea7c73f","2024-06-05T23:50:00.000","3","PARKED",,"1748743",,"CHEVROLET","EXPRESS","IL","2016","UNKNOWN","VAN/MINI-VAN","NOT IN USE","S","PARKED",,,"0",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835805","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","2024-06-05T23:50:00.000","1","DRIVER","1","1748722",,"FORD","F450","IL","2019","NONE","OTHER","POLICE","E","BACKING",,,"2",,,,"Y",,,,,"N","N","N",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835806","bbb9be71cf614ff90ea45b9f13ee7822fba45519a976ee945c92366900dab1c57952736359c74b434013a981b7349559585dabf870218221a51526cb5ec48a75","2024-06-05T23:50:00.000","2","PARKED","2","1748725",,"VOLKSWAGEN","PASSAT","IL","2017","NONE","PASSENGER","UNKNOWN/NA","S","PARKED",,,"2",,,,,,,,,,,,"Y","Y","Y",,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835800","52e1f87356532b075ec519f8db6e50976ec6f5c4262777c25f8a65ab635134b5f311512d6a22d694b240e1a05d2f98236422f11008e9bf86204bbb275cbf74c2","2024-06-05T23:24:00.000","1","DRIVER",,"1748715",,"HONDA","ACCORD","IL","2004","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835801","52e1f87356532b075ec519f8db6e50976ec6f5c4262777c25f8a65ab635134b5f311512d6a22d694b240e1a05d2f98236422f11008e9bf86204bbb275cbf74c2","2024-06-05T23:24:00.000","2","DRIVER",,"1748717",,"FORD","ESCAPE",,,"UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1835799","e2a993a032c4ac80359703c27ee32915e8a7bd02bb385fa158acfa0442c033aaef178ce0a72839668b3bf3bd05b001f39146e464b360a50502e1c1bad04f5605","2024-06-05T22:35:00.000","2","PARKED",,"1748714",,"KIA","SORENTO","IL","2021","UNKNOWN","PASSENGER","NOT IN USE","UNKNOWN","PARKED",,,"0",,,,,,,,,,,,,,"N","Y","Y",,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
